VIDEO_ID	VIEWS	RATE	RATINGS	COMMENTS
TFtfGi-YNs4	578	3.67	3	3
ezP3iU04YPk	170	0	0	0
mz_oTXo02D4	867	5	6	7
3gTET6uAfYM	1277	5	2	3
jGJuOI8CuBI	222	0	0	1
kNTqNHeEY3I	491	0	0	1
CvFHWg8veRI	1379	5	1	0
WvC65T0s5e8	1738	5	1	4
oYAqa_xt5hU	697	3.8	5	8
Rg_yxBuWMyY	79	5	1	1
3PRuM-NJRQQ	49	1	1	1
dAz45loH0HM	201	1	2	0
0evLBkT9Hpg	1357	4.59	76	57
QJeb0aFx0lI	201	3.5	4	7
ezTXzJI4T-4	179	4.5	4	7
oGxUAiunvU8	2177	4.87	99	23
Ia492BecDPw	1578	4.88	90	26
BkfGYcHFBic	115	5	2	1
voYi1fHs89I	153	4.6	5	3
obq3w_LtuQw	3791	5	11	8
z9-jA3l4DlA	138	4.7	10	4
5l9TwSMsiGY	225	3.2	5	8
3SqGJxERwgM	19601	1.73	289	132
PDxofN2epQs	18657	4.32	78	36
DFNvUeords0	458	0	0	0
sKI3NfTLbeg	45118	4.41	195	97
DXyTB9qB05U	10793	4.44	59	22
wGP45Ivt5SM	38651	4.7	182	133
05XUDujkdKU	185	1.56	16	9
QjijOkNt2Ug	16	0	0	0
Qd30CwUCCkc	62	5	4	2
ZNRlVwN5cn4	768	3.12	8	6
doM3Sm5XdL0	138	4.75	4	4
ppWBBxyc4_k	163	4.9	10	6
phgK3h1F6tU	116	3	2	5
aKOXfQzh3CM	2125	5	15	2
5EFHmwjYi_E	99	0	0	0
3Bc9dRrQ5HI	366	5	10	9
u1VsN96cUPg	3671	4.93	45	38
DJwKezVto60	542	3.67	3	6
POeUEC6OSq0	890	5	6	6
kI3xVLcmXpk	742	5	6	5
xP6G6FbuxDY	456	4.89	9	4
ZYQhdeBO7GA	711	4.2	5	11
ETEKZoIONN4	616	5	3	4
EzExQZsz2Ok	146	5	2	2
0ZY5Fto5HEM	167	5	2	2
VqnsXV0dzUE	41	5	1	0
x4H6MbxhTuQ	431	5	107	1
hFWYYJJTiak	2886	4.77	74	40
F4RNtWq_Ruc	1099	4.69	13	18
rhHGw3P7qYk	1879	4.85	27	64
mYPfGj3WmY0	907	4	14	10
7YIYVz-5To4	231	5	2	3
FhZBSs6k2IA	10639	4.57	53	37
ja5zyN1vv5Q	494	5	5	4
ujoRfT6FLn0	45	5	1	2
Ohp6jKXXcig	558	4.78	40	21
egzxKut6WLI	501	0	0	2
_jI0DVwkous	123	0	0	0
0TTRYLBK_Ns	151	5	1	0
UeM0Tj3PzHY	622	4.52	21	16
PnwUd1j1p8U	334	3.3	30	19
Mw26WVICuOA	150	4.5	10	9
wu8GE0K4WtA	385	4.44	16	31
D7fsEOMmqX0	113	4.71	7	6
BC9-f3ZsPBQ	144	5	6	7
FZlqeQebJq0	111	2.33	3	4
91wYuWuLu9M	196	4.5	16	11
3ElTVtJdDdw	6945	4.85	121	80
hKldvpd0e2w	784	5	31	4
UK57WX8OStM	285	0	0	0
nJ2t0gsnNnM	78	1	1	3
5C8JRrkRzUs	260	4.73	15	2
igW3Kg5gvvQ	357	4.58	24	38
Mt7dlMQSF_U	235	4.17	6	97
idlawZoNoYw	1176	4.71	7	15
BMz2WfGIAh8	1073	5	1	6
BCPbvOGq7Qo	495	4.96	113	2
vjNE58MfVfI	402	5	132	1
SO1niyyyF6A	526	3.11	9	23
w6ELvC_ozpY	465	2.43	28	19
ZnjBUqE-6OQ	152	2.5	8	18
KTsdDZ8clno	395	5	7	17
yrY-2W5omms	399	5	6	4
YaVXgS7CwPg	529	3	3	1
ba1m3iZsnY4	289	4.67	3	5
JED620GNbV4	377	5	2	4
-w3qqS0wFQA	99	1.67	3	3
BxU2RoXc4R4
whLNb93YlbQ	163	4.5	4	2
6rq9isaIBow	134	3.17	6	9
46SFyPCuiUo	12198	4.79	128	49
